id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-000177,SIN-00051,Factura proforma,Si,Si,2023-10-29,No,OK
DOC-000178,SIN-00051,Informe pericial,Si,No,2023-10-23,No,Documento ilegible
DOC-000179,SIN-00052,Fotos del dano,Si,Si,2025-12-28,No,OK
DOC-000180,SIN-00052,Factura proforma,Si,Si,2025-12-18,No,OK
DOC-000181,SIN-00052,Informe pericial,Si,Si,2025-12-27,No,OK
DOC-000182,SIN-00053,Parte policial,Si,Si,2024-11-03,No,OK
DOC-000183,SIN-00053,Datos tercero,Si,Si,2024-11-02,No,OK
DOC-000184,SIN-00053,Fotos del dano,Si,Si,2024-11-06,No,OK
DOC-000185,SIN-00053,Informe pericial,Si,Si,2024-11-01,No,OK
DOC-000186,SIN-00054,Parte policial,Si,Si,2024-02-08,No,OK
DOC-000187,SIN-00054,Fotos del dano,Si,Si,2024-01-26,No,OK
DOC-000188,SIN-00054,Factura proforma,Si,Si,2024-02-05,No,OK
DOC-000189,SIN-00054,Informe pericial,Si,Si,2024-01-31,No,OK
DOC-000190,SIN-00055,Parte policial,Si,Si,2025-04-08,No,OK
DOC-000191,SIN-00055,Fotos del dano,Si,Si,2025-04-04,No,OK
DOC-000192,SIN-00055,Factura proforma,Si,Si,2025-04-12,No,OK
DOC-000193,SIN-00055,Informe pericial,Si,Si,2025-04-02,No,OK
DOC-000194,SIN-00056,Factura medica,Si,Si,2024-03-16,No,OK
DOC-000195,SIN-00056,Informe medico,Si,Si,2024-03-14,No,OK
DOC-000196,SIN-00056,Parte policial,Si,Si,2024-03-13,No,OK
DOC-000197,SIN-00057,Denuncia fiscalia,Si,Si,2025-05-25,No,OK
DOC-000198,SIN-00057,Fotos del dano,Si,Si,2025-05-23,No,OK
DOC-000199,SIN-00057,Factura proforma,Si,Si,2025-05-28,No,OK
DOC-000200,SIN-00058,Fotos del dano,Si,No,2024-12-10,No,Documento ilegible
DOC-000201,SIN-00058,Factura proforma,Si,Si,2024-11-28,No,OK
DOC-000202,SIN-00058,Informe pericial,Si,Si,2024-12-07,No,OK
DOC-000203,SIN-00059,Parte policial,Si,Si,2024-07-09,No,OK
DOC-000204,SIN-00059,Datos tercero,Si,Si,2024-07-14,No,OK
DOC-000205,SIN-00059,Fotos del dano,Si,Si,2024-07-23,No,OK
DOC-000206,SIN-00059,Informe pericial,Si,Si,2024-07-18,No,OK
DOC-000207,SIN-00060,Parte policial,Si,Si,2023-10-04,No,OK
DOC-000208,SIN-00060,Datos tercero,Si,Si,2023-10-15,No,OK
DOC-000209,SIN-00060,Fotos del dano,Si,Si,2023-10-12,No,OK
DOC-000210,SIN-00060,Informe pericial,Si,Si,2023-10-13,No,OK
DOC-000211,SIN-00061,Denuncia fiscalia,Si,Si,2026-03-30,Si,Fecha no coincide con evento
DOC-000212,SIN-00061,Matricula,Si,Si,2026-04-19,No,OK
DOC-000213,SIN-00061,Llaves,No,No,,No,No entregado en expediente sintetico
DOC-000214,SIN-00061,Informe pericial,No,No,,No,No entregado en expediente sintetico
DOC-000215,SIN-00062,Parte policial,Si,Si,2024-07-16,No,OK
DOC-000216,SIN-00062,Datos tercero,Si,Si,2024-07-10,No,OK
DOC-000217,SIN-00062,Fotos del dano,Si,Si,2024-07-12,No,OK
DOC-000218,SIN-00062,Informe pericial,No,No,,No,No entregado en expediente sintetico
DOC-000219,SIN-00063,Fotos del dano,Si,Si,2024-10-07,No,OK
DOC-000220,SIN-00063,Factura proforma,Si,Si,2024-10-03,No,OK
DOC-000221,SIN-00063,Informe pericial,Si,Si,2024-10-09,No,OK
DOC-000222,SIN-00064,Factura medica,Si,Si,2025-12-11,No,OK
DOC-000223,SIN-00064,Informe medico,Si,Si,2025-12-09,No,OK
DOC-000224,SIN-00064,Parte policial,Si,Si,2025-12-13,No,OK
DOC-000225,SIN-00065,Fotos del dano,Si,Si,2024-05-30,No,OK
DOC-000226,SIN-00065,Factura proforma,Si,Si,2024-06-07,No,OK
DOC-000227,SIN-00065,Informe pericial,No,No,,No,No entregado en expediente sintetico
DOC-000228,SIN-00066,Fotos del dano,Si,Si,2023-11-25,No,OK
DOC-000229,SIN-00066,Factura proforma,Si,Si,2023-11-20,No,OK
DOC-000230,SIN-00066,Informe pericial,Si,Si,2023-11-16,No,OK
DOC-000231,SIN-00067,Parte policial,Si,Si,2026-04-21,No,OK
DOC-000232,SIN-00067,Datos tercero,Si,Si,2026-04-24,No,OK
DOC-000233,SIN-00067,Fotos del dano,Si,Si,2026-04-20,No,OK
DOC-000234,SIN-00067,Informe pericial,Si,Si,2026-04-20,No,OK
DOC-000235,SIN-00068,Fotos del dano,Si,Si,2023-11-17,No,OK
DOC-000236,SIN-00068,Factura proforma,Si,Si,2023-11-29,No,OK
DOC-000237,SIN-00068,Informe pericial,Si,Si,2023-11-25,No,OK
DOC-000238,SIN-00069,Denuncia fiscalia,Si,Si,2024-03-05,No,OK
DOC-000239,SIN-00069,Matricula,No,No,,No,No entregado en expediente sintetico
DOC-000240,SIN-00069,Llaves,Si,Si,2024-03-03,No,OK
DOC-000241,SIN-00069,Informe pericial,Si,Si,2024-03-10,No,OK
DOC-000242,SIN-00070,Parte policial,Si,Si,2024-07-16,No,OK
DOC-000243,SIN-00070,Datos tercero,Si,Si,2024-07-12,No,OK
DOC-000244,SIN-00070,Fotos del dano,Si,Si,2024-07-27,No,OK
DOC-000245,SIN-00070,Informe pericial,Si,Si,2024-07-23,No,OK
DOC-000246,SIN-00071,Informe bomberos,Si,Si,2025-08-22,No,OK
DOC-000247,SIN-00071,Fotos del dano,Si,Si,2025-08-17,No,OK
DOC-000248,SIN-00071,Factura proforma,Si,Si,2025-08-23,No,OK
DOC-000249,SIN-00072,Parte policial,Si,Si,2025-03-16,No,OK
DOC-000250,SIN-00072,Fotos del dano,Si,Si,2025-03-22,No,OK
DOC-000251,SIN-00072,Factura proforma,Si,Si,2025-03-17,No,OK
DOC-000252,SIN-00072,Informe pericial,Si,Si,2025-03-18,No,OK
DOC-000253,SIN-00073,Parte policial,Si,Si,2024-10-20,No,OK
DOC-000254,SIN-00073,Fotos del dano,Si,Si,2024-10-27,No,OK
DOC-000255,SIN-00073,Factura proforma,No,No,,No,No entregado en expediente sintetico
DOC-000256,SIN-00073,Informe pericial,Si,Si,2024-10-22,No,OK
DOC-000257,SIN-00074,Parte policial,Si,Si,2023-05-23,No,OK
DOC-000258,SIN-00074,Fotos del dano,Si,Si,2023-05-17,No,OK
DOC-000259,SIN-00074,Factura proforma,Si,Si,2023-05-16,No,OK
DOC-000260,SIN-00074,Informe pericial,Si,Si,2023-05-26,No,OK
DOC-000261,SIN-00075,Fotos del dano,Si,Si,2026-08-04,No,OK
DOC-000262,SIN-00075,Factura proforma,Si,Si,2026-08-11,No,OK
DOC-000263,SIN-00075,Informe pericial,Si,Si,2026-08-17,No,OK
DOC-000264,SIN-00076,Fotos del dano,Si,Si,2025-12-03,No,OK
DOC-000265,SIN-00076,Factura proforma,Si,Si,2025-12-07,No,OK
DOC-000266,SIN-00076,Informe pericial,Si,Si,2025-12-08,No,OK
DOC-000267,SIN-00077,Parte policial,No,No,,No,No entregado en expediente sintetico
DOC-000268,SIN-00077,Fotos del dano,Si,Si,2024-06-24,No,OK
DOC-000269,SIN-00077,Factura proforma,Si,Si,2024-06-27,No,OK
DOC-000270,SIN-00077,Informe pericial,Si,Si,2024-07-05,No,OK
DOC-000271,SIN-00078,Parte policial,Si,Si,2025-09-18,No,OK
DOC-000272,SIN-00078,Fotos del dano,Si,Si,2025-09-14,No,OK
DOC-000273,SIN-00078,Factura proforma,Si,Si,2025-09-19,No,OK
DOC-000274,SIN-00078,Informe pericial,Si,Si,2025-09-27,No,OK
DOC-000275,SIN-00079,Fotos del dano,Si,Si,2025-07-19,No,OK
DOC-000276,SIN-00079,Factura proforma,Si,Si,2025-07-25,No,OK
DOC-000277,SIN-00080,Denuncia fiscalia,Si,Si,2024-04-26,No,OK
DOC-000278,SIN-00080,Matricula,Si,Si,2024-04-26,No,OK
DOC-000279,SIN-00080,Llaves,Si,Si,2024-04-22,No,OK
DOC-000280,SIN-00080,Informe pericial,Si,Si,2024-04-28,No,OK
DOC-000281,SIN-00081,Fotos del dano,Si,Si,2024-02-02,No,OK
DOC-000282,SIN-00081,Factura proforma,Si,Si,2024-02-05,No,OK
DOC-000283,SIN-00081,Informe pericial,Si,Si,2024-01-31,No,OK
DOC-000284,SIN-00082,Factura medica,No,No,,No,No entregado en expediente sintetico
DOC-000285,SIN-00082,Informe medico,Si,Si,2024-12-03,No,OK
DOC-000286,SIN-00082,Parte policial,Si,Si,2024-12-09,No,OK
DOC-000287,SIN-00083,Fotos del dano,Si,Si,2023-09-15,No,OK
DOC-000288,SIN-00083,Factura proforma,Si,Si,2023-09-14,No,OK
DOC-000289,SIN-00084,Parte policial,Si,Si,2024-02-04,No,OK
DOC-000290,SIN-00084,Datos tercero,Si,Si,2024-02-07,No,OK
DOC-000291,SIN-00084,Fotos del dano,Si,Si,2024-02-09,No,OK
DOC-000292,SIN-00084,Informe pericial,Si,Si,2024-01-29,No,OK
DOC-000293,SIN-00085,Denuncia fiscalia,No,No,,No,No entregado en expediente sintetico
DOC-000294,SIN-00085,Matricula,No,No,,No,No entregado en expediente sintetico
DOC-000295,SIN-00085,Llaves,No,No,,No,No entregado en expediente sintetico
DOC-000296,SIN-00085,Informe pericial,No,No,,No,No entregado en expediente sintetico
DOC-000297,SIN-00086,Fotos del dano,Si,Si,2026-06-05,No,OK
DOC-000298,SIN-00086,Informe tecnico,Si,Si,2026-05-29,No,OK
DOC-000299,SIN-00086,Factura proforma,Si,Si,2026-05-26,No,OK
DOC-000300,SIN-00087,Parte policial,Si,No,2025-12-28,No,Documento ilegible
DOC-000301,SIN-00087,Datos tercero,Si,Si,2025-12-23,Si,Fecha no coincide con evento
DOC-000302,SIN-00087,Fotos del dano,Si,Si,2025-12-24,Si,Valor no coincide con factura
DOC-000303,SIN-00087,Informe pericial,Si,Si,2025-12-21,No,OK
DOC-000304,SIN-00088,Informe bomberos,Si,Si,2024-10-07,No,OK
DOC-000305,SIN-00088,Fotos del dano,Si,Si,2024-10-07,No,OK
DOC-000306,SIN-00088,Factura proforma,Si,Si,2024-10-13,No,OK
DOC-000307,SIN-00089,Fotos del dano,Si,Si,2023-07-23,No,OK
DOC-000308,SIN-00089,Factura proforma,Si,Si,2023-07-20,No,OK
DOC-000309,SIN-00089,Informe pericial,Si,Si,2023-07-19,No,OK
DOC-000310,SIN-00090,Factura medica,Si,Si,2026-01-05,No,OK
DOC-000311,SIN-00090,Informe medico,Si,Si,2026-01-01,Si,Fecha no coincide con evento
DOC-000312,SIN-00090,Formulario siniestro,Si,Si,2026-01-04,No,OK
DOC-000313,SIN-00091,Factura medica,Si,Si,2023-04-21,No,OK
DOC-000314,SIN-00091,Informe medico,Si,Si,2023-04-25,No,OK
DOC-000315,SIN-00091,Parte policial,Si,Si,2023-04-26,No,OK
DOC-000316,SIN-00092,Parte policial,Si,Si,2024-02-27,No,OK
DOC-000317,SIN-00092,Fotos del dano,Si,Si,2024-02-25,No,OK
DOC-000318,SIN-00092,Factura proforma,Si,Si,2024-02-23,No,OK
DOC-000319,SIN-00092,Informe pericial,Si,Si,2024-02-26,No,OK
DOC-000320,SIN-00093,Parte policial,Si,Si,2024-01-23,No,OK
DOC-000321,SIN-00093,Fotos del dano,Si,Si,2024-01-16,No,OK
DOC-000322,SIN-00093,Factura proforma,Si,Si,2024-01-15,No,OK
DOC-000323,SIN-00093,Informe pericial,Si,Si,2024-01-26,No,OK
DOC-000324,SIN-00094,Denuncia fiscalia,Si,Si,2025-06-11,No,OK
DOC-000325,SIN-00094,Fotos del dano,Si,Si,2025-06-21,No,OK
DOC-000326,SIN-00094,Factura proforma,Si,Si,2025-06-25,No,OK
DOC-000327,SIN-00095,Parte policial,Si,Si,2025-11-14,No,OK
DOC-000328,SIN-00095,Fotos del dano,Si,Si,2025-11-17,No,OK
DOC-000329,SIN-00095,Factura proforma,Si,Si,2025-11-11,No,OK
DOC-000330,SIN-00095,Informe pericial,Si,Si,2025-11-04,No,OK
DOC-000331,SIN-00096,Factura medica,Si,Si,2025-02-24,No,OK
DOC-000332,SIN-00096,Informe medico,Si,Si,2025-03-08,No,OK
DOC-000333,SIN-00096,Formulario siniestro,Si,Si,2025-02-22,No,OK
DOC-000334,SIN-00097,Parte policial,Si,Si,2025-01-15,No,OK
DOC-000335,SIN-00097,Datos tercero,No,No,,No,No entregado en expediente sintetico
DOC-000336,SIN-00097,Fotos del dano,Si,Si,2025-01-06,No,OK
DOC-000337,SIN-00097,Informe pericial,No,No,,No,No entregado en expediente sintetico
DOC-000338,SIN-00098,Denuncia fiscalia,Si,Si,2023-09-28,No,OK
DOC-000339,SIN-00098,Fotos del dano,Si,Si,2023-09-23,No,OK
DOC-000340,SIN-00098,Factura proforma,Si,Si,2023-09-13,No,OK
DOC-000341,SIN-00099,Fotos del dano,No,No,,No,No entregado en expediente sintetico
DOC-000342,SIN-00099,Factura proforma,Si,Si,2025-07-01,No,OK
DOC-000343,SIN-00099,Informe pericial,Si,Si,2025-07-07,No,OK
DOC-000344,SIN-00100,Parte policial,Si,Si,2026-01-28,No,OK
DOC-000345,SIN-00100,Datos tercero,Si,Si,2026-01-25,No,OK
DOC-000346,SIN-00100,Fotos del dano,Si,Si,2026-01-22,No,OK
DOC-000347,SIN-00100,Informe pericial,Si,Si,2026-01-17,No,OK
DOC-000348,SIN-00101,Fotos del dano,Si,Si,2023-04-26,No,OK
DOC-000349,SIN-00101,Factura proforma,Si,No,2023-04-29,No,Documento ilegible
