id_vehiculo,placa_hash,marca,modelo,anio,chasis_hash,motor_hash,ciudad,uso
VEH-00022,PLC-M3GITAZV,Toyota,Rav4,2022,CHS-YV2V1ITUM4UL,MTR-ZUS5PUYRZX,Guayaquil,Particular
VEH-00023,PLC-3N2SE05I,Hyundai,Tucson,2025,CHS-TPQJ1YE24Z86,MTR-08CX8FGPWK,Guayaquil,Particular
VEH-00024,PLC-1GAGQO67,Great Wall,Haval H6,2025,CHS-9O2XZ36JWB4G,MTR-S0FHJWTV3N,Quito,Particular
VEH-00025,PLC-2UETCHBV,Kia,Seltos,2023,CHS-GKP7L9KV913O,MTR-ZLL1ZBM21Y,Quito,Particular
VEH-00026,PLC-EG8LXUM3,Nissan,X-Trail,2024,CHS-HQ57UYZHWW3L,MTR-TFIUHPTHLX,Quito,Particular
VEH-00027,PLC-1L58L9K5,Great Wall,Wingle,2022,CHS-SILU2DWA5IMY,MTR-96505025KF,Guayaquil,Particular
VEH-00028,PLC-O8SK3596,Toyota,Fortuner,2014,CHS-HHR8X8C28N1G,MTR-PTC2QWF2HP,Ambato,Particular
VEH-00029,PLC-1KINNDW8,Mazda,Mazda 3,2022,CHS-R8KUSSR6GI0D,MTR-RIIPJUPZ5J,Cuenca,Particular
VEH-00030,PLC-FZ6RX35U,Great Wall,Haval H6,2021,CHS-AF3WE8ZN1N5R,MTR-USV9I5VDCG,Quito,Particular
VEH-00031,PLC-K23A1MIT,Chevrolet,Sail,2025,CHS-KRFXQFXKDZTO,MTR-1FGAN4EIO7,Manta,Particular
VEH-00032,PLC-1I4EOYFG,Mazda,BT-50,2025,CHS-GUXTIYIJE7AK,MTR-2WNJ02NFGI,Quito,Comercial
VEH-00033,PLC-UIPRFP9S,Great Wall,Haval H6,2025,CHS-BTN76MZSDP5Y,MTR-HP5E7AXUIY,Guayaquil,Taxi/Ride-hailing
VEH-00034,PLC-4EBEAQNC,Mazda,Mazda 3,2023,CHS-DZ6S601ZF88J,MTR-RFTF6NJ8UZ,Guayaquil,Particular
VEH-00035,PLC-PDPF1H3D,Kia,Picanto,2023,CHS-TLHAIAK5W77Q,MTR-KXIRHBV1R7,Ambato,Particular
VEH-00036,PLC-XD5KXKQG,Kia,Seltos,2021,CHS-HO6ACAPC4XYJ,MTR-LC90OUP0UR,Cuenca,Comercial
VEH-00037,PLC-7CZE3STU,Kia,Rio,2017,CHS-F93AXMSTP3X5,MTR-M8PJA0BO8W,Guayaquil,Particular
VEH-00038,PLC-YTGN7P05,Chevrolet,D-Max,2013,CHS-DJRFCO70X3FG,MTR-6IZED1IPSQ,Cuenca,Comercial
VEH-00039,PLC-ROEMIGJG,Great Wall,Haval H6,2019,CHS-K23U0H8WN2T3,MTR-QHFKTCNUJF,Machala,Particular
VEH-00040,PLC-QLBZ299P,Great Wall,Wingle,2023,CHS-G3GIHADOIMZX,MTR-FQEBEM2IFV,Loja,Particular
VEH-00041,PLC-1Z5BY1LW,Chevrolet,Aveo,2025,CHS-NLRR2JCPS509,MTR-4DFRYI0M7P,Machala,Particular
VEH-00042,PLC-W485W6UY,Chevrolet,Captiva,2023,CHS-RLBUOBRD47WO,MTR-KGPPR8DOYW,Ambato,Carga liviana
VEH-00043,PLC-UWBWJM58,Hyundai,Accent,2018,CHS-TL5CFDOOB74A,MTR-VMIVLUDBJJ,Loja,Comercial
VEH-00044,PLC-ZGVTUIK1,Mazda,BT-50,2020,CHS-5UL9WOLYTSIL,MTR-AZCLUOG5JV,Manta,Comercial
VEH-00045,PLC-FV2AQNPE,Mazda,BT-50,2022,CHS-WQGADY20K05Y,MTR-W8YG4OK2EC,Quito,Particular
VEH-00046,PLC-YKE9FV4B,Kia,Rio,2019,CHS-1K1KDGVNM098,MTR-QSTPGDZ95J,Quito,Particular
VEH-00047,PLC-4MGBNKSF,Kia,Picanto,2024,CHS-4HTZ45QF8YLX,MTR-YXL2CQ23QO,Quito,Comercial
VEH-00048,PLC-W80O9DY7,Hyundai,Tucson,2016,CHS-084P4TFZC67J,MTR-H2LKNMIC1F,Guayaquil,Carga liviana
VEH-00049,PLC-EFY9Z9UR,Hyundai,Santa Fe,2019,CHS-73A70H0JJGGG,MTR-S8W0QY54CL,Guayaquil,Particular
VEH-00050,PLC-VPD4RXBV,Great Wall,Wingle,2020,CHS-TTR5GOIT2UR0,MTR-FM2N057XD6,Quito,Comercial
VEH-00051,PLC-7BLMMDPC,Great Wall,Wingle,2023,CHS-3DXMRX36ZHBP,MTR-X52L49WWKQ,Quito,Comercial
VEH-00052,PLC-KNOONR06,Nissan,Versa,2020,CHS-BA4ILAOQTR1Y,MTR-W3QN3T7ZGA,Cuenca,Particular
VEH-00053,PLC-STG4EVRU,Mazda,Mazda 3,2022,CHS-RQTMJ7PDZUIB,MTR-5SQ0ZYCMVO,Cuenca,Particular
VEH-00054,PLC-K9LSG4IQ,Suzuki,Swift,2021,CHS-9LVFOWOT0VXQ,MTR-S3H4DE4M6H,Guayaquil,Taxi/Ride-hailing
VEH-00055,PLC-JIMV03JU,Nissan,Frontier,2015,CHS-LF5VLUDA2RNK,MTR-K5FI11Z14Y,Guayaquil,Particular
VEH-00056,PLC-7MBAPOWT,Mazda,BT-50,2024,CHS-IGY6TKECTS37,MTR-7V1IV5WMKZ,Guayaquil,Particular
VEH-00057,PLC-6KHXCYQ8,Hyundai,Accent,2023,CHS-DDGBDH02YH9Q,MTR-4JNAT0G7RI,Quito,Particular
VEH-00058,PLC-G5MMQ7MW,Kia,Picanto,2016,CHS-0SKC95N4VPAA,MTR-FH5JF6EGQO,Santo Domingo,Particular
VEH-00059,PLC-LCSXU1HG,Nissan,Frontier,2015,CHS-CAIKVW2RFXVL,MTR-HZZ3RY40KH,Loja,Particular
VEH-00060,PLC-42LYWBI4,Hyundai,Tucson,2020,CHS-5H02CEQUA7OV,MTR-77G1P4WYJ9,Cuenca,Taxi/Ride-hailing
VEH-00061,PLC-45KE5UPV,Chevrolet,Aveo,2021,CHS-RD6O9YZPF322,MTR-F52UH5BGZ0,Guayaquil,Particular
VEH-00062,PLC-9N3VXDO3,Kia,Picanto,2024,CHS-V94X2HGOAVWS,MTR-97XGCK5I0G,Guayaquil,Particular
VEH-00063,PLC-MVG0CH23,Kia,Seltos,2018,CHS-6I5A7D9146LL,MTR-IGYU6Y0PRZ,Quito,Carga liviana
VEH-00064,PLC-6T9U9NMN,Suzuki,Vitara,2017,CHS-SWIL68UHW940,MTR-8S1A7GBYJD,Loja,Particular
VEH-00065,PLC-JDSN8CW2,Hyundai,Santa Fe,2023,CHS-G9O9YP6SDYY0,MTR-U9DAQM2OX8,Quito,Particular
VEH-00066,PLC-ELL6HYC1,Toyota,Fortuner,2021,CHS-R9QIKQAV3JCJ,MTR-UDT59WEU7O,Quito,Carga liviana
VEH-00067,PLC-ZFWONVVX,Hyundai,Creta,2021,CHS-SN749AHW2PPC,MTR-UYHYQ8SB7X,Guayaquil,Particular
VEH-00068,PLC-MU6FGK88,Suzuki,Vitara,2019,CHS-AENN1GN81EJB,MTR-3VCFEDLQ9E,Guayaquil,Particular
VEH-00069,PLC-Z1UBYH8A,Nissan,Frontier,2020,CHS-ECEW6GSTFS2Y,MTR-ZB4K8OIZ8S,Quito,Carga liviana
VEH-00070,PLC-9JHCAZ89,Mazda,BT-50,2021,CHS-FTNWN06JKLOQ,MTR-MHLD939ESE,Quito,Particular
VEH-00071,PLC-PGSEMU52,Suzuki,Swift,2020,CHS-VTJXU1KAUPO1,MTR-RXIV432WT5,Quito,Particular
VEH-00072,PLC-I8MQEEB6,Kia,Picanto,2024,CHS-BZNC9Q884JXZ,MTR-OSI366FZX6,Quito,Particular
VEH-00073,PLC-LJ4WCO5O,Hyundai,Accent,2021,CHS-EQXOCN7XY43C,MTR-CUG7RQ8LYY,Quito,Particular
VEH-00074,PLC-O7ZWW54A,Kia,Picanto,2020,CHS-6I2KOE6RNJLK,MTR-XHO0VH444N,Cuenca,Particular
VEH-00075,PLC-IKI6CJDK,Great Wall,Wingle,2018,CHS-QL7ZBSFN244K,MTR-O0JL6QKV3E,Cuenca,Particular
VEH-00076,PLC-60JGL4C8,Kia,Rio,2018,CHS-6HF4I8A170XC,MTR-71O4YWG1IQ,Guayaquil,Particular
VEH-00077,PLC-80QMAA7H,Kia,Picanto,2022,CHS-7AYNU0XGJ1QQ,MTR-81XRZN0994,Quito,Particular
VEH-00078,PLC-WZIHO2KG,Suzuki,Swift,2025,CHS-N6ZV9DKYAFJ4,MTR-1FEQOXFCYZ,Guayaquil,Particular
VEH-00079,PLC-2AM7SMC6,Chevrolet,Aveo,2022,CHS-7OKCXPAKFRZW,MTR-ZZM7AEF9S9,Guayaquil,Taxi/Ride-hailing
VEH-00080,PLC-M3ZAQL06,Nissan,Versa,2022,CHS-G9E6SVH6Q8Q2,MTR-Y4PV33B4HQ,Quito,Particular
VEH-00081,PLC-0W78AQPS,Toyota,Corolla,2024,CHS-FZVE9L4UWNRL,MTR-M5MPPQNOMP,Guayaquil,Comercial
VEH-00082,PLC-5A8C4XU5,Kia,Rio,2025,CHS-R5L6RZOID714,MTR-8C6WZL3H73,Quito,Particular
VEH-00083,PLC-UXQL9QPR,Toyota,Rav4,2022,CHS-4VXL51N0XXZR,MTR-2LIOGRP91Y,Quito,Particular
VEH-00084,PLC-L05I78U5,Hyundai,Creta,2024,CHS-TQ9DZGKDNQ4G,MTR-2VQXX99QWB,Ambato,Particular
VEH-00085,PLC-SWU652FY,Toyota,Corolla,2025,CHS-S3JKV0ZEFKVO,MTR-UUSRZR2X72,Quito,Particular
VEH-00086,PLC-QFNKZGGE,Chevrolet,Aveo,2023,CHS-49DBZ7FGQJFY,MTR-TOPS2II7KB,Quito,Particular
VEH-00087,PLC-8R92I8L3,Mazda,CX-5,2021,CHS-178TW48OF2TX,MTR-0QJTAA7IWS,Quito,Particular
VEH-00088,PLC-1SOA9XM0,Suzuki,Swift,2019,CHS-91ZPKYYOQF1P,MTR-7RS8R0MELI,Quito,Particular
VEH-00089,PLC-5MUBJD8B,Suzuki,Swift,2023,CHS-LGSRI2AOFJA5,MTR-NV0T5X3CVF,Guayaquil,Comercial
VEH-00090,PLC-E84LMQYA,Chevrolet,D-Max,2023,CHS-HPY2PCM3G7N4,MTR-YTUKC97HQ4,Machala,Particular
VEH-00091,PLC-P1UAKRHZ,Chevrolet,Aveo,2025,CHS-PAC4JXFPK5FV,MTR-DDWJ8GI5OU,Quito,Carga liviana
VEH-00092,PLC-BYWIQC52,Mazda,CX-5,2023,CHS-9S85ML8WU3R9,MTR-KE7J2SQ8X3,Ambato,Particular
VEH-00093,PLC-XPUE8YM7,Great Wall,Wingle,2024,CHS-59JSU0UHG7EC,MTR-ILCMG5MGCY,Guayaquil,Particular
VEH-00094,PLC-EAN5F3DX,Nissan,Versa,2020,CHS-90XDR7CETEN7,MTR-GGO8YMM7PL,Guayaquil,Particular
VEH-00095,PLC-1GKL9Z6V,Kia,Picanto,2022,CHS-K82WU9UX01UP,MTR-8NY9QX22ZA,Guayaquil,Particular
VEH-00096,PLC-TATONUBR,Chevrolet,Onix,2017,CHS-969JGC3WJIQX,MTR-POQTFZNEU4,Loja,Particular
VEH-00097,PLC-YFDVW10H,Kia,Picanto,2014,CHS-OAYDT7CU8JU6,MTR-OJDZ26FO1S,Manta,Comercial
VEH-00098,PLC-D9ZQFZ61,Mazda,BT-50,2021,CHS-II49M5ZM97PP,MTR-ER1UFH01XW,Quito,Particular
VEH-00099,PLC-W2J2COMX,Chevrolet,D-Max,2017,CHS-JFHDPJSAVHT2,MTR-4BVN8NN87Q,Quito,Particular
VEH-00100,PLC-7CQKDSMR,Hyundai,Tucson,2020,CHS-D3AEYRXGBSYO,MTR-Y6GU58FLM6,Guayaquil,Carga liviana
VEH-00101,PLC-7TV5ZKBW,Chevrolet,Sail,2018,CHS-WWTP6RDQYB9R,MTR-OJVZIFY7O0,Guayaquil,Particular
VEH-00102,PLC-8INI8MIT,Nissan,X-Trail,2019,CHS-7I1JKUE98HLU,MTR-JBU00T2RJM,Quito,Particular
VEH-00103,PLC-OOOBWF4I,Nissan,X-Trail,2022,CHS-64XLY54IKMOC,MTR-0AR0OMNEL2,Quito,Taxi/Ride-hailing
VEH-00104,PLC-1ZCYUZ87,Mazda,CX-5,2024,CHS-C7G23CP78ZC9,MTR-Y7DMS2ZTS3,Guayaquil,Particular
VEH-00105,PLC-32F6HL8I,Chevrolet,Onix,2025,CHS-Z0U2BL3M3FQU,MTR-KHFH2XF7Y6,Quito,Particular
VEH-00106,PLC-VJKJLD0T,Great Wall,Wingle,2023,CHS-T2SLHIMAQA35,MTR-58A5PN4302,Quito,Particular
VEH-00107,PLC-9NDLJDWC,Toyota,Fortuner,2022,CHS-JCTVFDG0LKS9,MTR-L3XCFTUXYE,Guayaquil,Comercial
VEH-00108,PLC-HRV707NN,Kia,Picanto,2021,CHS-DG7F4S1UQ7WI,MTR-5755LOSMAH,Manta,Particular
VEH-00109,PLC-00CVW9NA,Kia,Sportage,2024,CHS-MSQETT69UAHV,MTR-VZBLMVV44C,Guayaquil,Particular
VEH-00110,PLC-0D7TU98B,Suzuki,Swift,2021,CHS-NVWEJRBVY8KY,MTR-LHTUCR0F5P,Guayaquil,Particular
VEH-00111,PLC-LHXCMF26,Nissan,Versa,2021,CHS-B46JMV47TUJG,MTR-7INC3Y7HAT,Manta,Carga liviana
VEH-00112,PLC-CG7TBTNU,Kia,Picanto,2021,CHS-MMSR8U2HRJKR,MTR-HA96GN8W9U,Cuenca,Particular
VEH-00113,PLC-ETV82DIB,Nissan,X-Trail,2018,CHS-4DGYDF1ZL2WT,MTR-VM8F3IF3G3,Machala,Particular
VEH-00114,PLC-OJQXZLVU,Suzuki,Swift,2018,CHS-35BE4HW43KSW,MTR-I6GZGU9ET8,Cuenca,Particular
VEH-00115,PLC-4YEVN11V,Toyota,Corolla,2021,CHS-8PLE5H3U9G2L,MTR-TZEGYU5DFN,Guayaquil,Comercial
VEH-00116,PLC-28SY2MNU,Chevrolet,Aveo,2022,CHS-TT1WFA6ZISDX,MTR-9DA9WHSBP1,Santo Domingo,Particular
VEH-00117,PLC-Y18NL4IM,Mazda,Mazda 3,2020,CHS-9YX0JSIIAEBJ,MTR-51IFI031L3,Guayaquil,Particular
VEH-00118,PLC-L1A5P6R0,Suzuki,Swift,2020,CHS-8XCC4XH4FJ7R,MTR-37F7FP4E8T,Guayaquil,Particular
VEH-00119,PLC-4V0WSSKC,Chevrolet,Captiva,2021,CHS-TQD4KDSBS5FI,MTR-6ERQIRRQAH,Santo Domingo,Particular
VEH-00120,PLC-LQP5L7CV,Hyundai,Creta,2020,CHS-FJJ50YP2KNWD,MTR-QHDK3Z4T48,Santo Domingo,Particular
VEH-00121,PLC-71AS2YU7,Great Wall,Haval H6,2018,CHS-CG8W1RVRRGQZ,MTR-3PM7VLU9AA,Cuenca,Comercial
VEH-00122,PLC-WOSQMCBF,Kia,Rio,2023,CHS-DNHHFIYLHLQS,MTR-3E3R1UQKER,Quito,Comercial
VEH-00123,PLC-QL2E5MZL,Mazda,BT-50,2018,CHS-5GJ81NG2QGCE,MTR-EQ2B5JACYR,Guayaquil,Particular
VEH-00124,PLC-541ZE8OA,Great Wall,Wingle,2021,CHS-Y4H8WVTZDFX8,MTR-VF3SML9CYM,Quito,Particular
VEH-00125,PLC-2MICMBP5,Kia,Picanto,2021,CHS-YE8T582BCVDV,MTR-CZHN738JOE,Guayaquil,Particular
VEH-00126,PLC-CPIALDTG,Chevrolet,Captiva,2025,CHS-3KEGH5OEM1VZ,MTR-UH8IUNCLVE,Quito,Particular
VEH-00127,PLC-9K2PCIGY,Great Wall,Wingle,2023,CHS-KB5FAALFS04I,MTR-NJR720PLCL,Quito,Particular
VEH-00128,PLC-A9PMH7GX,Kia,Picanto,2019,CHS-86O3NRDMHJ45,MTR-LKCDXSN1QV,Guayaquil,Particular
VEH-00129,PLC-D8LKB56H,Suzuki,Vitara,2016,CHS-EP2U0MUOHUOG,MTR-P0MYOE45D1,Santo Domingo,Particular
VEH-00130,PLC-I3MWRMVI,Suzuki,Vitara,2020,CHS-CDRIH330KVOS,MTR-KK9OF075N4,Machala,Comercial
VEH-00131,PLC-1OJA0CC4,Great Wall,Wingle,2018,CHS-6C17Z4G25PF9,MTR-A0NIWSPFB4,Quito,Particular
VEH-00132,PLC-3IZLX3AE,Suzuki,Vitara,2025,CHS-YV7CS1R8NFVD,MTR-6XDHYX3CXX,Quito,Particular
VEH-00133,PLC-VP8H4NOU,Kia,Sportage,2017,CHS-WR61RDEXW256,MTR-7H488S2XEM,Guayaquil,Taxi/Ride-hailing
VEH-00134,PLC-SEGKRHJ5,Kia,Seltos,2024,CHS-JN7BS08I4W02,MTR-BSMEBO7V0V,Guayaquil,Particular
VEH-00135,PLC-ITKQO4XS,Suzuki,Swift,2021,CHS-DJWS3KK8SLLJ,MTR-KPHCUI2QXL,Ambato,Particular
VEH-00136,PLC-28K8THBZ,Mazda,CX-5,2017,CHS-5J3UJA86VS4S,MTR-J2VH4CI9HT,Cuenca,Particular
VEH-00137,PLC-UDM7ORMB,Toyota,Rav4,2020,CHS-F82F6ZM5U6DX,MTR-ZJ1XYXASWW,Guayaquil,Particular
VEH-00138,PLC-202SK10I,Kia,Sportage,2023,CHS-FJNT47VEYFA0,MTR-R0L93IMLYS,Guayaquil,Particular
VEH-00139,PLC-93OBAJQT,Nissan,X-Trail,2019,CHS-4HS0L5PBHR5E,MTR-X41Q4HX6BQ,Quito,Particular
VEH-00140,PLC-IWKDRX0W,Mazda,CX-5,2024,CHS-DSS7E6MLGK8U,MTR-UTRXG8WJAI,Quito,Particular
VEH-00141,PLC-KGNJ6OM9,Suzuki,Swift,2019,CHS-789H03EHIB4W,MTR-TXI27VLTBH,Guayaquil,Particular
VEH-00142,PLC-NIF1HEB4,Hyundai,Accent,2019,CHS-1CMGC6D4HQCE,MTR-TAGHNMLWBF,Manta,Particular
VEH-00143,PLC-K6P6EGA7,Nissan,X-Trail,2019,CHS-NMSK8AGN64XL,MTR-2GLWY1N6O0,Ambato,Particular
VEH-00144,PLC-I5XS9CFU,Kia,Seltos,2016,CHS-5HYS3T2O90S1,MTR-ME4XLA5GZ2,Loja,Particular
VEH-00145,PLC-GKEXMVMZ,Kia,Sportage,2020,CHS-HO15RRZW4Z56,MTR-RJ3GHQ55OI,Cuenca,Particular
VEH-00146,PLC-LYUJTGE7,Kia,Seltos,2023,CHS-53MS556Q8V88,MTR-BC1HY2UY23,Cuenca,Particular
VEH-00147,PLC-1ITY5H59,Nissan,X-Trail,2017,CHS-8449K6DZQ5YW,MTR-SUDBCIXWBV,Quito,Particular
VEH-00148,PLC-PPPTFETH,Mazda,CX-5,2020,CHS-VKB8UC3160RB,MTR-4BUYYUG5GN,Guayaquil,Particular
VEH-00149,PLC-X1M5E8NS,Mazda,BT-50,2022,CHS-QDTZOFGVRE74,MTR-1NWET6T18U,Guayaquil,Particular
VEH-00150,PLC-7L5N3R81,Suzuki,Vitara,2024,CHS-D7MX3JPJT10U,MTR-EN0RSKQPZP,Guayaquil,Particular
VEH-00151,PLC-911CMKRI,Toyota,Fortuner,2021,CHS-BQR9LC5BDFUT,MTR-E0XFZIPH6H,Quito,Particular
VEH-00152,PLC-PHUVYP1N,Nissan,Frontier,2024,CHS-JGLNR20QD58X,MTR-HU814PRJX4,Manta,Particular
VEH-00153,PLC-DPQ9YTXH,Chevrolet,Onix,2014,CHS-8P2YAZQTFPTN,MTR-K2U0CRF540,Manta,Taxi/Ride-hailing
VEH-00154,PLC-Q6EW09U3,Great Wall,Wingle,2024,CHS-BDL2IAZMTUFH,MTR-KP7I0U24IQ,Quito,Particular
VEH-00155,PLC-0XLZYOBB,Mazda,CX-5,2018,CHS-9OF3MQKDZ1QJ,MTR-FXKHA7135H,Guayaquil,Particular
VEH-00156,PLC-YI1NNSM0,Nissan,Frontier,2023,CHS-L0JBSQP2PX3F,MTR-A4IUZNY1QE,Quito,Particular
VEH-00157,PLC-WCAQ6YTZ,Mazda,BT-50,2021,CHS-XI9CLQK65V3I,MTR-FU71JQHUCI,Quito,Particular
VEH-00158,PLC-1SQQ7U1K,Nissan,X-Trail,2020,CHS-U5J92DMJDOLC,MTR-4QK31H5C2W,Loja,Carga liviana
VEH-00159,PLC-JHWFNSLK,Suzuki,Swift,2016,CHS-6RNA7L0EP5GV,MTR-BSHZXGUJBF,Guayaquil,Particular
VEH-00160,PLC-RAVC2UIN,Suzuki,Swift,2022,CHS-DSUDE9YFZQLP,MTR-ZFBNKYZSJH,Cuenca,Particular
VEH-00161,PLC-WGX6M52Y,Nissan,X-Trail,2022,CHS-4R1F1XL11FC6,MTR-V3OJ577FS3,Ambato,Particular
VEH-00162,PLC-ITP71SD9,Suzuki,Swift,2017,CHS-EC6G610G3QWQ,MTR-F6BH3LLZCF,Santo Domingo,Particular
VEH-00163,PLC-2QVLNLFQ,Mazda,Mazda 3,2023,CHS-G18BAZHAK43Z,MTR-5TXZTFIIAM,Cuenca,Particular
VEH-00164,PLC-JP18MFT3,Toyota,Hilux,2018,CHS-J41BHKJ254B2,MTR-PMSZDVAG10,Quito,Comercial
VEH-00165,PLC-565OD7B1,Nissan,Versa,2021,CHS-U9ER04H5W21B,MTR-KSM4W2O6OV,Cuenca,Taxi/Ride-hailing
VEH-00166,PLC-Y0X4KNSF,Suzuki,Vitara,2024,CHS-4ILMK5G05TPN,MTR-9DBWQWKL6C,Manta,Comercial
VEH-00167,PLC-O5QVWC9R,Kia,Sportage,2016,CHS-J6GD23HGG9C6,MTR-GKHNXKS265,Quito,Particular
VEH-00168,PLC-HM20AP4V,Mazda,CX-5,2024,CHS-S6KFRX0XPJ70,MTR-OI10037XB2,Quito,Particular
VEH-00169,PLC-ZK1DZCJD,Kia,Rio,2019,CHS-7S0Z9TUWAR7J,MTR-Z2N82WZMTF,Quito,Particular
VEH-00170,PLC-69T7VKBB,Hyundai,Santa Fe,2018,CHS-8QPT16HDXQ6W,MTR-HDH2TA3VP8,Quito,Comercial
VEH-00171,PLC-IY7PGU7M,Nissan,Frontier,2022,CHS-X3GJ10FFD1I4,MTR-N2EX7Z97ZQ,Quito,Particular
VEH-00172,PLC-0KJ6I53I,Suzuki,Swift,2023,CHS-67HN34CK9XH0,MTR-HHXSC7JHXT,Guayaquil,Carga liviana
VEH-00173,PLC-J0DTSNL5,Suzuki,Vitara,2023,CHS-AH9WEC04T2VY,MTR-4II6322JUF,Quito,Comercial
VEH-00174,PLC-ZV8C2RFK,Great Wall,Haval H6,2018,CHS-BT9H9FM8D7M4,MTR-6BH8LBRNP2,Cuenca,Particular
VEH-00175,PLC-5BV1L0B7,Mazda,CX-5,2022,CHS-UYQFHG8KSJLQ,MTR-FJT0KDULBD,Guayaquil,Particular
VEH-00176,PLC-QYHDMPP5,Hyundai,Creta,2024,CHS-66YHRDU390E4,MTR-B0OBR9GP9I,Quito,Particular
VEH-00177,PLC-JX8KP819,Kia,Sportage,2023,CHS-2CA3SKAD4RQY,MTR-WN6SCK8ETF,Guayaquil,Particular
VEH-00178,PLC-N6UVQ2RP,Hyundai,Santa Fe,2024,CHS-UVN3VBIA4AAL,MTR-095Z8FE8B2,Quito,Particular
VEH-00179,PLC-AH3XM2AO,Great Wall,Haval H6,2020,CHS-BRWMFTOO5XCR,MTR-5NAMZHR65K,Quito,Particular
VEH-00180,PLC-EIQO7RMB,Hyundai,Tucson,2022,CHS-8Q93A1DU10RH,MTR-735X7CODR0,Cuenca,Particular
VEH-00181,PLC-BO1EPMKV,Great Wall,Wingle,2019,CHS-TEGB41BVQPG4,MTR-PVDV7PE2G2,Quito,Particular
VEH-00182,PLC-EID2DT1E,Chevrolet,Sail,2020,CHS-GD9DSYZG0OA3,MTR-Y31GVB37VM,Quito,Particular
VEH-00183,PLC-I6QW042L,Kia,Sportage,2025,CHS-PICDIT16WT8J,MTR-J4TVSXA7JD,Quito,Particular
VEH-00184,PLC-MMEVM43V,Chevrolet,Captiva,2019,CHS-VT0VKG3C5OAO,MTR-O3NP4VYNZL,Manta,Comercial
VEH-00185,PLC-9HJS2MXC,Chevrolet,Sail,2020,CHS-BMMSLOQLV9PL,MTR-MBLQGBIYHV,Quito,Carga liviana
VEH-00186,PLC-K71EHJIM,Toyota,Fortuner,2024,CHS-M8YXU1PCM8SJ,MTR-UPDRI65NF4,Quito,Comercial
VEH-00187,PLC-6X573LUX,Hyundai,Creta,2023,CHS-7454RZCNOM2P,MTR-ZNT1YKXQ9F,Guayaquil,Particular
