id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,id_proveedor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,ciudad,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,historial_solo_rc_asegurado,tipo_impacto,hora_evento,tercero_identificado,evidencia_camaras,tipo_via,clima,documento_inconsistente,relato_ilogico,narrativa_cluster_id,similitud_narrativa_max,etiqueta_fraude_simulada,perfil_riesgo_generacion
SIN-00023,POL-00086,ASEG-00268,VEH-00243,COND-00192,PROV-0037,Vehiculos,Danos Propios,2024-09-06,2024-09-07,2350,2830,2350,Anticipo,Quito Norte,Quito,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0037,277,88,1,1,0,2,0,Posterior,4,No,Si,Parqueadero,Despejado,No,No,,0.25,0,normal
SIN-00024,POL-00054,ASEG-00302,VEH-00061,COND-00358,PROV-0009,Vehiculos,Responsabilidad Civil,2025-12-25,2025-12-28,630,600,250,Reserva,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0009,301,64,3,4,2,1,0,Posterior,2,Si,No,Residencial,Despejado,No,No,,0.09,0,normal
SIN-00025,POL-00100,ASEG-00302,VEH-00126,COND-00024,PROV-0033,Vehiculos,Choque,2025-01-04,2025-01-06,7170,7830,0,Reserva,Quito Norte,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0033,238,127,2,2,3,1,0,Frontal,13,No,No,Perimetral,Despejado,No,No,,0.5,0,normal
SIN-00026,POL-00055,ASEG-00101,VEH-00127,COND-00095,PROV-0052,Vehiculos,Gastos Medicos por Accidente,2024-03-28,2024-03-28,2770,3020,1660,Pago Total,Quito Centro,Quito,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0052,130,235,0,0,0,1,0,Posterior,23,Si,Si,Interprovincial,Neblina,No,No,,0.1,0,normal
SIN-00027,POL-00146,ASEG-00069,VEH-00345,COND-00010,PROV-0024,Vehiculos,Cristales,2025-04-05,2025-04-07,400,320,160,Reserva,Ambato,Ambato,El vehiculo fue robado cerca del cierre de vigencia y se reporta varios dias despues.,No,PROV-0024,30,335,2,0,0,1,0,Multiple,1,Si,Si,Perimetral,Neblina,Si,No,CLON-03,0.77,0,medio
SIN-00028,POL-00215,ASEG-00238,VEH-00384,COND-00115,PROV-0022,Vehiculos,Robo Parcial,2025-01-04,2025-01-04,1790,1830,0,Pago Total,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0022,82,283,0,5,0,1,2,Robo,10,No,No,Interprovincial,Noche lluvia,No,No,,0.48,0,normal
SIN-00029,POL-00006,ASEG-00179,,,PROV-0054,Hogar,Robo Domiciliario,2024-07-12,2024-07-13,10910,12570,0,Pago Parcial,Quito Sur,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,No,PROV-0054,119,246,1,0,0,0,0,Estacionado,20,No,No,Interprovincial,Lluvia,No,No,,0.51,0,normal
SIN-00030,POL-00238,ASEG-00144,VEH-00034,COND-00183,PROV-0030,Vehiculos,Choque,2026-06-05,2026-06-08,15020,13070,12020,Pago Total,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0030,238,127,3,4,4,1,1,Posterior,12,No aplica,No,Interprovincial,Despejado,No,No,,0.51,0,normal
SIN-00031,POL-00379,ASEG-00083,VEH-00153,COND-00113,PROV-0038,Vehiculos,Robo Total,2023-12-16,2023-12-17,4090,4980,2450,Liquidado,Manta,Manta,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0038,158,207,1,3,2,0,0,Robo,10,Si,No,Residencial,Noche lluvia,No,No,,0.55,0,normal
SIN-00032,POL-00256,ASEG-00055,VEH-00295,COND-00079,PROV-0009,Vehiculos,Danos Propios,2025-10-14,2025-10-21,4810,3650,0,Pago Total,Quito Centro,Quito,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0009,363,2,7,8,4,1,1,Multiple,17,No aplica,Si,Residencial,Despejado,No,No,,0.3,0,medio
SIN-00033,POL-00104,ASEG-00212,VEH-00190,COND-00202,PROV-0059,Vehiculos,Robo Total,2024-07-30,2024-07-30,32230,36510,32230,Anticipo,Guayaquil Sur,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0059,306,59,0,3,1,1,0,Robo,7,No,No,Urbana,Despejado,No,No,,0.28,0,normal
SIN-00034,POL-00510,ASEG-00114,VEH-00303,COND-00413,PROV-0010,Vehiculos,Responsabilidad Civil,2025-07-06,2025-07-07,1490,1730,0,Reserva,Guayaquil Centro,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0010,137,228,1,9,0,1,2,Estacionado,17,No aplica,Si,Urbana,Neblina,No,No,,0.57,0,normal
SIN-00035,POL-00202,ASEG-00108,VEH-00417,COND-00304,PROV-0055,Vehiculos,Responsabilidad Civil,2024-12-10,2024-12-13,2040,1990,2040,Pago Total,Santo Domingo,Santo Domingo,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0055,183,182,3,2,7,1,1,Posterior,12,Si,No,Residencial,Neblina,No,No,,0.51,1,normal
SIN-00036,POL-00082,ASEG-00176,VEH-00169,COND-00342,PROV-0054,Vehiculos,Responsabilidad Civil,2023-05-02,2023-05-02,6470,6150,0,Pago Total,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0054,87,278,0,3,3,0,1,Posterior,17,Si,Si,Residencial,Despejado,No,No,,0.48,0,normal
SIN-00037,POL-00253,ASEG-00229,VEH-00409,COND-00291,PROV-0017,Vehiculos,Choque,2024-06-23,2024-06-26,8390,9670,5030,Pago Parcial,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0017,170,195,3,0,0,1,0,Estacionado,21,No,No aplica,Interprovincial,Despejado,No,No,,0.4,0,normal
SIN-00038,POL-00073,ASEG-00274,VEH-00133,COND-00443,PROV-0052,Vehiculos,Gastos Medicos por Accidente,2026-01-25,2026-01-25,2290,2320,1370,Pago Total,Guayaquil Centro,Guayaquil,El asegurado indica que fue impactado al salir de un parqueadero y el tercero abandono el lugar.,Si,PROV-0052,141,224,0,3,2,2,0,Multiple,5,No,Si,Residencial,Despejado,No,No,,0.08,0,medio
SIN-00039,POL-00075,ASEG-00290,VEH-00079,COND-00449,PROV-0022,Vehiculos,Choque,2024-03-04,2024-03-05,8490,6750,5090,Pago Total,Quito Norte,Quito,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,No,PROV-0022,51,314,1,0,0,0,0,Frontal,15,Si,No,Urbana,Neblina,Si,No,CLON-01,0.8,0,medio
SIN-00040,POL-00102,ASEG-00245,,,PROV-0005,Hogar,Incendio,2024-09-19,2024-09-24,1910,1900,1910,Pago Total,Quito Centro,Quito,El asegurado indica que fue impactado al salir de un parqueadero y el tercero abandono el lugar.,Si,PROV-0005,75,290,5,4,0,0,1,Sin impacto,16,Si,No,Perimetral,Noche seca,No,No,,0.14,0,medio
SIN-00041,POL-00370,ASEG-00270,VEH-00272,COND-00262,PROV-0049,Vehiculos,Robo Total,2024-01-02,2024-01-07,59560,48600,0,Pago Parcial,Guayaquil Centro,Guayaquil,En la madrugada encontre el vehiculo golpeado y no existen camaras disponibles.,No,PROV-0049,15,350,5,1,1,0,0,Robo,1,Si,Si,Parqueadero,Lluvia,No,No,CLON-02,0.87,1,alto
SIN-00042,POL-00417,ASEG-00073,VEH-00335,COND-00281,PROV-0008,Vehiculos,Choque,2025-04-12,2025-04-15,3070,3570,1840,Pago Parcial,Guayaquil Sur,Guayaquil,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0008,160,205,3,0,1,1,0,Posterior,23,No,No aplica,Interprovincial,Noche seca,No,No,,0.53,0,normal
SIN-00043,POL-00290,ASEG-00248,,,PROV-0034,Generales,Dano por Agua,2024-07-01,2024-07-03,6970,8600,4180,Reserva,Guayaquil Centro,Guayaquil,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0034,290,75,2,2,0,0,0,Posterior,11,No,Si,Perimetral,Noche seca,No,Si,,0.51,0,normal
SIN-00044,POL-00371,ASEG-00010,VEH-00379,COND-00208,PROV-0056,Vehiculos,Responsabilidad Civil,2025-10-29,2025-10-29,990,1220,590,Pago Parcial,Cuenca,Cuenca,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0056,218,147,0,1,1,2,0,Frontal,12,Si,No aplica,Urbana,Despejado,No,No,,0.08,0,normal
SIN-00045,POL-00422,ASEG-00058,VEH-00369,COND-00210,PROV-0050,Vehiculos,Robo Parcial,2026-01-01,2026-01-03,4420,4090,1770,Reserva,Machala,Machala,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0050,308,57,2,3,1,0,2,Robo,5,Si,No,Perimetral,Lluvia,No,No,,0.21,0,normal
SIN-00046,POL-00159,ASEG-00054,VEH-00127,COND-00146,PROV-0051,Vehiculos,Responsabilidad Civil,2024-10-23,2024-10-25,10050,10220,10050,Cierre Sin Consecuencia,Cuenca,Cuenca,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0051,37,328,2,7,2,0,1,Posterior,1,No,No,Urbana,Lluvia,No,No,,0.16,0,normal
SIN-00047,POL-00031,ASEG-00107,VEH-00026,COND-00423,PROV-0048,Vehiculos,Gastos Medicos por Accidente,2024-05-11,2024-05-11,5000,4450,5000,Reserva,Quito Centro,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0048,191,174,0,0,1,0,0,Estacionado,13,Si,No,Parqueadero,Noche lluvia,No,No,,0.36,0,normal
SIN-00048,POL-00131,ASEG-00131,VEH-00128,COND-00475,PROV-0021,Vehiculos,Choque,2026-05-22,2026-05-22,4230,5060,2540,Pago Parcial,Guayaquil Centro,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0021,307,58,0,1,1,2,0,Estacionado,4,No,No,Parqueadero,Neblina,No,No,,0.16,0,normal
SIN-00049,POL-00132,ASEG-00091,VEH-00193,COND-00282,PROV-0049,Vehiculos,Danos Propios,2024-06-22,2024-06-26,12540,12070,7530,Liquidado,Santo Domingo,Santo Domingo,Se reporta choque nocturno con danos moderados. No hay fotografias del momento del accidente.,No,PROV-0049,5,360,4,0,0,0,0,Volcadura,3,No,Si,Perimetral,Noche seca,No,No,,0.28,0,medio
SIN-00050,POL-00015,ASEG-00113,VEH-00405,COND-00164,PROV-0052,Vehiculos,Gastos Medicos por Accidente,2025-05-27,2025-05-29,1820,1690,1090,Pago Total,Quito Norte,Quito,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0052,200,165,2,1,1,0,0,Posterior,23,Si,No,Perimetral,Noche lluvia,Si,No,,0.45,0,normal
SIN-00051,POL-00440,ASEG-00334,VEH-00339,COND-00008,PROV-0030,Vehiculos,Choque,2023-10-21,2023-10-21,4240,4410,2540,Liquidado,Quito Norte,Quito,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0030,224,141,0,1,3,0,0,Posterior,4,Si,Si,Urbana,Lluvia,No,No,,0.4,0,normal
SIN-00052,POL-00021,ASEG-00306,VEH-00065,COND-00263,PROV-0025,Vehiculos,Danos Propios,2025-12-21,2025-12-21,3480,4070,2790,Reserva,Quito Norte,Quito,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0025,174,191,0,4,4,2,0,Estacionado,5,Si,No aplica,Interprovincial,Lluvia,No,No,,0.3,0,normal
SIN-00053,POL-00005,ASEG-00347,VEH-00319,COND-00393,PROV-0032,Vehiculos,Responsabilidad Civil,2024-10-31,2024-11-01,2520,3010,1010,Pago Total,Quito Centro,Quito,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0032,47,318,1,2,0,0,0,Posterior,9,No,No,Perimetral,Neblina,No,No,,0.27,0,normal
SIN-00054,POL-00464,ASEG-00306,VEH-00087,COND-00032,PROV-0025,Vehiculos,Choque,2024-01-29,2024-02-05,9970,9800,9970,Reserva,Ambato,Ambato,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,Si,PROV-0025,153,212,7,0,0,0,0,Posterior,17,No aplica,Si,Parqueadero,Noche seca,No,No,,0.3,0,normal
SIN-00055,POL-00093,ASEG-00215,VEH-00418,COND-00227,PROV-0009,Vehiculos,Choque,2025-04-02,2025-04-02,2300,2710,1380,Liquidado,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0009,111,254,0,2,2,1,1,Estacionado,11,No,No,Urbana,Noche seca,No,No,,0.48,0,normal
SIN-00056,POL-00130,ASEG-00182,VEH-00092,COND-00420,PROV-0020,Vehiculos,Gastos Medicos por Accidente,2024-03-12,2024-03-15,1080,1220,0,Reserva,Manta,Manta,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0020,212,153,3,0,0,1,0,Frontal,4,Si,Si,Residencial,Lluvia,No,No,,0.35,0,normal
SIN-00057,POL-00499,ASEG-00114,VEH-00064,COND-00044,PROV-0037,Vehiculos,Robo Parcial,2025-05-17,2025-05-17,2870,2860,0,Liquidado,Quito Sur,Quito,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0037,62,303,0,6,1,0,1,Robo,12,No,No,Interprovincial,Despejado,No,No,,0.57,0,normal
SIN-00058,POL-00147,ASEG-00246,VEH-00126,COND-00117,PROV-0037,Vehiculos,Danos Propios,2024-11-29,2024-12-04,22220,22120,17780,Pago Total,Quito Centro,Quito,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,No,PROV-0037,28,337,5,2,2,0,1,Lateral,14,No,No,Residencial,Despejado,No,No,,0.47,0,medio
SIN-00059,POL-00511,ASEG-00334,VEH-00039,COND-00216,PROV-0045,Vehiculos,Responsabilidad Civil,2024-07-12,2024-07-13,4400,2470,1760,Pago Parcial,Machala,Machala,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0045,345,20,1,3,0,0,0,Volcadura,13,No,No,Parqueadero,Noche seca,No,Si,,0.17,1,alto
SIN-00060,POL-00252,ASEG-00110,VEH-00301,COND-00070,PROV-0031,Vehiculos,Responsabilidad Civil,2023-10-04,2023-10-04,2050,2040,820,Reserva,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0031,108,257,0,2,2,0,0,Lateral,11,Si,No aplica,Urbana,Despejado,No,No,,0.07,0,normal
SIN-00061,POL-00520,ASEG-00206,VEH-00068,COND-00360,PROV-0009,Vehiculos,Robo Total,2026-04-13,2026-04-16,22250,17700,17800,Reserva,Guayaquil Sur,Guayaquil,En la madrugada encontre el vehiculo golpeado y no existen camaras disponibles.,No,PROV-0009,341,24,3,3,3,1,1,Robo,21,No,No,Interprovincial,Despejado,Si,No,CLON-02,0.89,1,alto
SIN-00062,POL-00362,ASEG-00014,VEH-00003,COND-00084,PROV-0009,Vehiculos,Responsabilidad Civil,2024-07-10,2024-07-11,12450,9570,7470,Pago Total,Quito Sur,Quito,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,No,PROV-0009,232,133,1,3,3,0,1,Robo,7,Si,No,Residencial,Noche seca,No,No,,0.53,0,medio
SIN-00063,POL-00437,ASEG-00007,VEH-00155,COND-00082,PROV-0033,Vehiculos,Danos Propios,2024-09-28,2024-09-29,3330,3590,2000,Reserva,Guayaquil Centro,Guayaquil,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0033,115,250,1,1,1,0,1,Robo,18,Si,No,Urbana,Noche seca,No,No,,0.13,0,normal
SIN-00064,POL-00459,ASEG-00277,VEH-00013,COND-00449,PROV-0020,Vehiculos,Gastos Medicos por Accidente,2025-12-02,2025-12-03,6230,5060,6230,Liquidado,Quito Centro,Quito,Al salir de un parqueadero me chocaron y el otro vehiculo se fue del sitio.,Si,PROV-0020,283,82,1,3,4,0,1,Posterior,21,Si,Si,Urbana,Neblina,No,No,CLON-01,0.78,0,medio
SIN-00065,POL-00475,ASEG-00061,VEH-00085,COND-00071,PROV-0007,Vehiculos,Danos Propios,2024-05-30,2024-06-06,3420,2930,3420,Pago Total,Machala,Machala,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,No,PROV-0007,30,335,7,2,0,1,1,Posterior,20,Si,No,Parqueadero,Lluvia,Si,No,,0.35,1,alto
SIN-00066,POL-00225,ASEG-00350,VEH-00212,COND-00344,PROV-0012,Vehiculos,Danos Propios,2023-11-13,2023-11-17,14040,14790,0,Cierre Sin Consecuencia,Cuenca,Cuenca,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0012,102,263,4,0,0,0,0,Frontal,1,No,No,Residencial,Lluvia,No,No,,0.19,0,normal
SIN-00067,POL-00218,ASEG-00032,VEH-00070,COND-00217,PROV-0053,Vehiculos,Responsabilidad Civil,2026-04-21,2026-04-23,3800,3880,3800,Liquidado,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0053,262,103,2,5,2,0,1,Multiple,12,Si,Si,Residencial,Lluvia,No,No,,0.09,0,normal
SIN-00068,POL-00380,ASEG-00271,VEH-00074,COND-00470,PROV-0030,Vehiculos,Danos Propios,2023-11-18,2023-11-19,1410,1270,1410,Pago Parcial,Quito Centro,Quito,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0030,245,120,1,1,1,0,0,Posterior,20,No aplica,No aplica,Residencial,Despejado,No,No,,0.2,0,normal
